pl_name,hostname,ra,dec
Qatar-4 b,Qatar-4,4.859275,44.0275965
TOI-329 b,TOI-329,351.3210955,-15.6346313
WASP-53 b,WASP-53,31.9091639,-20.661843
TOI-1751 b,TOI-1751,243.4888534,63.5335297
TOI-1298 b,TOI-1298,241.3229012,70.1900397
TOI-4010 d,TOI-4010,20.2148196,66.0722009
HD 125390 b,HD 125390,214.5387463,38.9669132
TOI-1842 b,TOI-1842,201.9626552,9.0306437
OGLE-2017-BLG-0448L b,OGLE-2017-BLG-0448L,268.668625,-31.0319167
TOI-2529 b,TOI-2529,118.9945352,-52.3548332
TIC 4672985 b,TIC 4672985,38.4706782,-10.6573827
WASP-53 c,WASP-53,31.9091639,-20.661843
TOI-1437 b,TOI-1437,256.1387513,56.842549
HD 183579 b,HD 183579,293.2866147,-54.5327284
KELT-24 b,KELT-24,161.9090273,71.655727
TOI-286 b,TOI-286,90.9842762,-60.6663348
TOI-286 c,TOI-286,90.9842762,-60.6663348
L 168-9 b,L 168-9,350.0285917,-60.0657292
TOI-1130 b,TOI-1130,286.3760037,-41.4376399
HIP 97166 b,HIP 97166,296.2446203,74.0628577
HIP 97166 c,HIP 97166,296.2446203,74.0628577
TOI-1272 b,TOI-1272,199.1962036,49.8610591
TOI-1272 c,TOI-1272,199.1962036,49.8610591
TOI-1742 b,TOI-1742,257.3288678,71.8766724
WASP-139 b,WASP-139,49.562173,-41.3020235
TOI-532 b,TOI-532,85.0800537,11.5626373
TOI-4010 b,TOI-4010,20.2148196,66.0722009
TOI-1855 b,TOI-1855,205.3539534,17.6868719
TOI-4379 b,TOI-4379,252.0478813,-32.4337532
HD 18599 b,HD 18599,44.2620144,-56.1918694
TOI-220 b,TOI-220,91.7996988,-61.9972098
HATS-24 b,HATS-24,268.8907069,-61.7474
TOI-2459 b,TOI-2459,82.1433321,-39.3730456
TOI-2107 b,TOI-2107,286.7965405,-58.6968348
TOI-3757 b,TOI-3757,91.0036423,55.0199793
WASP-132 b,WASP-132,217.6091998,-46.159516
TOI-2368 b,TOI-2368,134.9576234,-48.4884929
HATS-52 b,HATS-52,140.0875894,-31.2692116
HIP 29442 c,HD 42813,93.0578446,-14.6493167
WASP-15 b,WASP-15,208.9280111,-32.1597118
WASP-190 b,WASP-190,7.7095292,-40.5734613
TOI-3568 b,TOI-3568,322.6023682,34.7395805
TOI-3714 b,TOI-3714,69.5523415,39.4580035
TOI-270 d,TOI-270,68.4160804,-51.9573937
WASP-91 b,WASP-91,357.846434,-70.1528621
HD 109833 b,HD 109833,189.7758591,-74.5740205
HAT-P-62 b,HAT-P-62,74.5043816,48.3008551
TOI-1130 c,TOI-1130,286.3760037,-41.4376399
Kepler-422 b,Kepler-422,282.6296334,46.3232807
Kepler-396 c,Kepler-396,296.1328135,48.9773095
pi Men d,HD 39091,84.2992798,-80.4646041
HD 110113 c,HD 110113,190.0365636,-44.3120777
HAT-P-68 b,HAT-P-68,118.4831501,23.9382192
TrES-1 b,TrES-1,286.0408755,36.632536
HAT-P-3 b,HAT-P-3,206.0940142,48.028565
TOI-4153 b,TOI-4153,335.3934698,82.2160792
HAT-P-15 b,HAT-P-15,66.248142,39.460602
Kepler-6 b,Kepler-6,296.8372475,48.2399695
WASP-38 b,WASP-38,243.9597194,10.0324103
WASP-126 b,WASP-126,63.374706,-69.2265926
TOI-4010 e,TOI-4010,20.2148196,66.0722009
WASP-52 b,WASP-52,348.4947931,8.7610793
HAT-P-51 b,HAT-P-51,21.0651251,32.8107
HAT-P-61 b,HAT-P-61,75.4801665,50.1311784
HATS-6 b,HATS-6,88.1468079,-19.0316268
NGTS-6 b,NGTS-6,75.795382,-30.3994612
HATS-17 b,HATS-17,192.1895676,-47.6136789
HATS-75 b,HATS-75,60.9493919,-25.4089214
TOI-216.01,TOI-216,73.9800129,-63.2603301
TOI-480 b,TOI-480,88.3784618,-16.2653974
HATS-14 b,HATS-14,313.2154754,-25.6873756
HD 15337 b,HD 15337,36.8678846,-27.6361171
WASP-64 b,WASP-64,101.1149223,-32.8583878
WASP-65 b,WASP-65,133.3242982,8.5230171
HAT-P-13 b,HAT-P-13,129.8823772,47.3519076
Kepler-396 b,Kepler-396,296.1328135,48.9773095
WASP-132 c,WASP-132,217.6091998,-46.159516
HAT-P-19 b,HAT-P-19,9.5165832,34.7114025
TOI-640 b,TOI-640,99.7345935,-36.64613
TOI-5218 b,TOI-5218,292.6634642,71.7629612
TOI-139 b,TOI-139,336.4024144,-34.9097131
TOI-3540 A b,TOI-3540 A,328.9113712,28.1794996
HAT-P-8 b,HAT-P-8,343.0414932,35.4471778
WASP-32 b,WASP-32,3.9617073,1.2005122
Kepler-26 d,Kepler-26,284.9410627,46.5664505
WASP-173 A b,WASP-173 A,354.1686959,-34.6113042
TOI-540 b,TOI-540,76.3096949,-47.9375391
WASP-160 B b,WASP-160 B,87.679561,-27.6233218
HATS-56 b,HATS-56,180.165072,-45.7994559
WASP-69 b,WASP-69,315.0259661,-5.094857
GJ 1132 b,GJ 1132,153.7090696,-47.1549358
GJ 1132 c,GJ 1132,153.7090696,-47.1549358
TOI-257 b,TOI-257,47.5172608,-50.8322632
HD 42813 b,HD 42813,93.0578446,-14.6493167
HIP 29442 d,HD 42813,93.0578446,-14.6493167
LHS 1678 b,LHS 1678,68.1789866,-39.7908744
HAT-P-67 b,HAT-P-67,256.6107279,44.7768849
WASP-16 b,WASP-16,214.6830109,-20.2754374
TIC 257060897 b,TIC 257060897,227.5321527,72.7103128
HD 109833 c,HD 109833,189.7758591,-74.5740205
TOI-470 b,TOI-470,94.0099043,-25.0314111
TOI-1221 b,TOI-1221,107.9210254,-65.5088568
WASP-126 c,WASP-126,63.374706,-69.2265926
TOI-122 b,TOI-122,332.9482355,-58.946085
